,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed,New_date
0,Butaritari,99,KI,1588632312,82,3.07,172.79,28.2,7.04,2020-05-04 22:45:12
1,Port Hardy,90,CA,1588632312,62,50.7,-127.42,12.0,10.3,2020-05-04 22:45:12
2,Saskylakh,100,RU,1588632313,94,71.92,114.08,-13.42,5.28,2020-05-04 22:45:13
3,Busselton,99,AU,1588632313,74,-33.65,115.33,13.33,6.41,2020-05-04 22:45:13
4,Souillac,20,MU,1588632313,78,-20.52,57.52,24.0,2.6,2020-05-04 22:45:13
5,Upernavik,100,GL,1588632313,95,72.79,-56.15,-6.04,8.95,2020-05-04 22:45:13
6,George Town,20,MY,1588632314,94,5.41,100.34,27.0,1.5,2020-05-04 22:45:14
7,Hofn,100,IS,1588632315,78,64.25,-15.21,7.48,9.14,2020-05-04 22:45:15
8,Cap-aux-Meules,90,CA,1588632315,87,47.38,-61.86,3.0,11.3,2020-05-04 22:45:15
9,Bethel,75,US,1588632315,47,41.37,-73.41,13.0,7.7,2020-05-04 22:45:15
10,Punta Arenas,0,CL,1588632316,80,-53.15,-70.92,5.0,1.5,2020-05-04 22:45:16
11,Cape Town,53,ZA,1588632275,93,-33.93,18.42,15.56,3.6,2020-05-04 22:44:35
12,Dikson,93,RU,1588632316,85,73.51,80.55,-14.37,2.62,2020-05-04 22:45:16
13,Mataura,80,NZ,1588632317,89,-46.19,168.86,6.42,4.04,2020-05-04 22:45:17
14,Bredasdorp,18,ZA,1588632317,87,-34.53,20.04,13.0,2.21,2020-05-04 22:45:17
15,Esna,0,EG,1588632317,36,25.29,32.55,25.0,3.99,2020-05-04 22:45:17
16,Huntington,1,US,1588632244,35,38.42,-82.45,22.0,3.1,2020-05-04 22:44:04
17,Derzhavīnsk,0,KZ,1588632318,52,51.1,66.32,7.31,2.8,2020-05-04 22:45:18
18,Ancud,55,CL,1588632318,76,-41.87,-73.82,12.0,2.1,2020-05-04 22:45:18
19,Bluff,73,NZ,1588632319,74,-46.6,168.33,8.12,9.9,2020-05-04 22:45:19
20,Bambous Virieux,20,MU,1588632319,78,-20.34,57.76,24.44,2.6,2020-05-04 22:45:19
21,Tasiilaq,0,GL,1588632320,38,65.61,-37.64,6.0,4.6,2020-05-04 22:45:20
22,Isiolo,36,KE,1588632320,59,0.35,37.58,19.96,3.31,2020-05-04 22:45:20
23,Cabo San Lucas,5,MX,1588632320,16,22.89,-109.91,34.0,7.2,2020-05-04 22:45:20
24,Beloha,0,MG,1588632321,89,-25.17,45.05,17.57,2.59,2020-05-04 22:45:21
25,Port Alfred,0,ZA,1588632321,89,-33.59,26.89,15.56,0.45,2020-05-04 22:45:21
26,Castro,0,BR,1588632322,50,-24.79,-50.01,12.71,1.1,2020-05-04 22:45:22
27,Jiménez,40,MX,1588632322,8,28.33,-105.4,36.0,7.2,2020-05-04 22:45:22
28,Naantali,90,FI,1588632323,100,60.47,22.02,4.44,1.0,2020-05-04 22:45:23
29,Rikitea,98,PF,1588632129,71,-23.12,-134.97,22.96,5.74,2020-05-04 22:42:09
30,Ushuaia,1,AR,1588632078,81,-54.8,-68.3,7.0,10.3,2020-05-04 22:41:18
31,Tupik,0,RU,1588632324,45,54.43,119.93,5.82,1.16,2020-05-04 22:45:24
32,Aykhal,90,RU,1588632324,74,66.0,111.5,1.0,5.0,2020-05-04 22:45:24
33,Ardrishaig,3,GB,1588632325,66,56.02,-5.45,9.0,5.1,2020-05-04 22:45:25
34,Khatanga,78,RU,1588632325,92,71.97,102.5,-16.64,6.61,2020-05-04 22:45:25
35,Carnarvon,90,AU,1588632325,100,-24.87,113.63,16.0,2.6,2020-05-04 22:45:25
36,Freeport,1,US,1588632028,38,40.66,-73.58,16.11,8.2,2020-05-04 22:40:28
37,Goderich,0,CA,1588632326,68,43.75,-81.72,4.44,5.87,2020-05-04 22:45:26
38,Zhengjiatun,52,CN,1588632326,37,43.51,123.51,13.04,0.72,2020-05-04 22:45:26
39,Hegra,85,NO,1588632327,86,63.46,11.11,4.0,4.1,2020-05-04 22:45:27
40,Honningsvåg,75,NO,1588632327,79,70.98,25.97,4.0,7.7,2020-05-04 22:45:27
41,Hualmay,59,PE,1588632328,79,-11.1,-77.61,20.66,4.98,2020-05-04 22:45:28
42,New Norfolk,66,AU,1588632328,90,-42.78,147.06,8.33,1.42,2020-05-04 22:45:28
43,Fairlie,26,GB,1588632328,80,55.76,-4.86,7.22,0.45,2020-05-04 22:45:28
44,Yellowknife,20,CA,1588632329,51,62.46,-114.35,4.0,2.1,2020-05-04 22:45:29
45,Vaini,40,TO,1588632330,78,-21.2,-175.2,27.0,2.6,2020-05-04 22:45:30
46,Nanortalik,100,GL,1588632330,86,60.14,-45.24,2.12,2.99,2020-05-04 22:45:30
47,Isangel,97,VU,1588632330,73,-19.55,169.27,26.82,2.64,2020-05-04 22:45:30
48,Leningradskiy,0,RU,1588632331,88,69.38,178.42,-5.04,1.4,2020-05-04 22:45:31
49,Lata,96,PT,1588632331,86,40.16,-8.33,16.67,0.89,2020-05-04 22:45:31
50,Mehamn,75,NO,1588632332,79,71.04,27.85,4.0,7.7,2020-05-04 22:45:32
51,Abbeville,88,FR,1588632332,83,50.1,1.83,10.0,6.04,2020-05-04 22:45:32
52,Puerto Ayora,75,EC,1588632332,74,-0.74,-90.35,28.0,7.7,2020-05-04 22:45:32
53,Kyra,0,RU,1588632333,38,49.58,111.98,7.18,0.68,2020-05-04 22:45:33
54,Quba,97,AZ,1588632333,41,41.36,48.52,15.78,3.37,2020-05-04 22:45:33
55,Meulaboh,100,ID,1588632333,83,4.14,96.13,24.97,1.61,2020-05-04 22:45:33
56,Pisco,75,PE,1588632334,77,-13.7,-76.22,20.56,9.3,2020-05-04 22:45:34
57,Lenger,90,KZ,1588632334,87,42.18,69.88,16.0,3.0,2020-05-04 22:45:34
58,Provideniya,6,RU,1588632335,62,64.38,-173.3,3.48,1.36,2020-05-04 22:45:35
59,Atuona,0,PF,1588632335,70,-9.8,-139.03,27.73,8.07,2020-05-04 22:45:35
60,Saint Paul Harbor,90,US,1588632335,87,57.79,-152.41,9.0,4.1,2020-05-04 22:45:35
61,Cockburn Town,64,TC,1588632126,74,21.46,-71.14,26.81,4.57,2020-05-04 22:42:06
62,Morgan City,75,US,1588632336,61,29.7,-91.21,27.78,3.6,2020-05-04 22:45:36
63,Mahébourg,20,MU,1588632337,78,-20.41,57.7,24.0,2.6,2020-05-04 22:45:37
64,Laibin,31,CN,1588632337,83,23.7,109.27,25.15,2.35,2020-05-04 22:45:37
65,Albany,69,US,1588632204,55,42.6,-73.97,10.56,6.3,2020-05-04 22:43:24
66,Araouane,0,ML,1588632338,11,18.9,-3.53,31.05,2.75,2020-05-04 22:45:38
67,Saint-Philippe,41,RE,1588632338,73,-21.36,55.77,24.0,2.6,2020-05-04 22:45:38
68,Nikolskoye,93,RU,1588632338,93,59.7,30.79,4.0,2.0,2020-05-04 22:45:38
69,Taltal,27,CL,1588632339,79,-25.4,-70.48,15.38,2.12,2020-05-04 22:45:39
70,Port Elizabeth,5,ZA,1588632339,100,-33.92,25.57,14.0,1.0,2020-05-04 22:45:39
71,Torbay,40,CA,1588632339,85,47.67,-52.73,4.0,4.6,2020-05-04 22:45:39
72,Gacko,0,BA,1588632340,55,43.17,18.54,3.08,1.04,2020-05-04 22:45:40
73,Hermanus,40,ZA,1588632340,83,-34.42,19.23,15.0,1.79,2020-05-04 22:45:40
74,Joshīmath,71,IN,1588632341,23,30.57,79.57,9.75,2.22,2020-05-04 22:45:41
75,São João da Barra,21,BR,1588632314,73,-21.64,-41.05,21.75,2.86,2020-05-04 22:45:14
76,Kaitangata,27,NZ,1588632341,72,-46.28,169.85,8.89,6.71,2020-05-04 22:45:41
77,Hilo,1,US,1588632341,54,19.73,-155.09,29.0,5.7,2020-05-04 22:45:41
78,Ubari,0,LY,1588632342,19,26.59,12.78,21.62,2.64,2020-05-04 22:45:42
79,Lagunas,16,PE,1588632342,87,-5.23,-75.68,25.97,1.29,2020-05-04 22:45:42
80,Dombås,31,NO,1588632342,86,62.07,9.12,-6.11,1.97,2020-05-04 22:45:42
81,Kainantu,100,PG,1588632343,60,-6.29,145.87,18.83,0.78,2020-05-04 22:45:43
82,Kandi,58,BJ,1588632343,38,11.13,2.94,32.06,2.01,2020-05-04 22:45:43
83,Trincomalee,26,LK,1588632343,79,8.57,81.23,27.91,2.0,2020-05-04 22:45:43
84,Hobart,40,AU,1588632227,87,-42.88,147.33,10.56,4.1,2020-05-04 22:43:47
85,Arlit,68,NE,1588632344,10,18.74,7.39,32.33,4.96,2020-05-04 22:45:44
86,Katobu,48,ID,1588632345,88,-4.94,122.53,25.45,0.58,2020-05-04 22:45:45
87,Chui,99,UY,1588632345,95,-33.7,-53.46,14.11,1.36,2020-05-04 22:45:45
88,Severo-Kuril'sk,100,RU,1588632313,93,50.68,156.12,3.71,10.45,2020-05-04 22:45:13
89,Umluj,85,SA,1588632346,54,25.02,37.27,25.45,0.33,2020-05-04 22:45:46
90,Nebaj,87,GT,1588632346,65,15.41,-91.15,19.44,2.24,2020-05-04 22:45:46
91,Sawtell,75,AU,1588632346,82,-30.38,153.1,15.0,5.7,2020-05-04 22:45:46
92,Aden,100,YE,1588632163,78,12.78,45.04,29.96,6.26,2020-05-04 22:42:43
93,Cherskiy,100,RU,1588632347,96,68.75,161.3,-2.05,1.56,2020-05-04 22:45:47
94,Kaiu,83,EE,1588632347,93,59.01,25.06,4.0,2.1,2020-05-04 22:45:47
95,Arraial do Cabo,5,BR,1588632348,72,-22.97,-42.03,22.45,4.87,2020-05-04 22:45:48
96,Coahuayana Viejo,75,MX,1588632348,42,18.73,-103.68,29.0,7.7,2020-05-04 22:45:48
97,San Quintín,0,MX,1588632348,60,30.48,-115.95,21.57,8.65,2020-05-04 22:45:48
98,Bac Lieu,8,VN,1588632349,73,9.29,105.72,28.47,2.12,2020-05-04 22:45:49
99,Faya,90,SA,1588632350,63,18.39,42.45,19.0,3.24,2020-05-04 22:45:50
100,Rocha,100,UY,1588632350,94,-34.48,-54.33,13.59,1.91,2020-05-04 22:45:50
101,Springfield,90,US,1588632351,82,37.22,-93.3,17.22,6.7,2020-05-04 22:45:51
